instance_id,url,defect_categories,fix_locus,fix_effort,fix,still_failing_configs,passing_configs,issue_summary
instance_element-hq__element-web-33299af5c9b7a7ec5a9c31d578d4ec5b18088fb7-vnan,https://jeff-da.github.io/audit-nonvalids/element-hq__element-web-33299af5c9b7a7ec5a9c31d578d4ec5b18088fb7-vnan/,Unstated requirement,tests,trivial,"In RoomHeader-test ""renders with no props"", the graded .snap pins gold's byte-exact DOM (`class=""mx_BaseAvatar""` only), failing any extra idiomatic class. Replace the full-DOM snapshot with targeted assertions (avatar exists, `toHaveClass(""mx_BaseAvatar"")`, header/name/topic behavioral checks — already covered by sibling tests), or drop the snapshot test from fail_to_pass.",mini-swe + GPT-5.6,claude-code + Opus 5; codex + GPT-5.6; mini-swe + Opus 5,"Models attempt to build the RoomHeader component, and the implementation passes every behavioral test — it renders the header, name, and topic, handles out-of-band room names, and opens the room summary. According to the task instructions, this should be acceptable: the spec only names the `mx_RoomHeader_info` and `mx_RoomHeader_name` CSS classes and says nothing about the avatar's class list. However, the graded ""renders with no props"" test is a snapshot test whose .snap file pins the reference solution's byte-exact DOM, so adding one innocuous, idiomatic class to the avatar span (expected `class=""mx_BaseAvatar""`, received `class=""mx_BaseAvatar mx_RoomHeader_avatar""`) fails grading. A functionally correct component is rejected over an unconstrained styling detail, so the failure is not a model error."
instance_element-hq__element-web-53a9b6447bd7e6110ee4a63e2ec0322c250f08d1-vnan,https://jeff-da.github.io/audit-nonvalids/element-hq__element-web-53a9b6447bd7e6110ee4a63e2ec0322c250f08d1-vnan/,Weak / wrong test,tests,moderate,"Regenerate the ""renders attribute additions"" snapshot so it doesn't pin gold's `href=""undefined""` bug (test_patch.patch lines 224/251) — assert the attribute is added, accepting any real value (e.g. match `href=` presence, not byte-exact snapshot). Same for ""handles non-html input"": replace byte-exact escaped-tag snapshot with a semantic assertion, since ""treat all formatted messages as HTML"" is ambiguous.",codex + GPT-5.6; mini-swe + GPT-5.6,claude-code + Opus 5; mini-swe + Opus 5,"Models attempt to render message-edit diffs in src/utils/MessageDiffUtils.tsx, the same single file the reference solution touches, and when an edit adds an attribute they apply it with its real value, producing links like href=""#/room/!123"". According to the task instructions this is the natural correct behavior -- no instruction sentence requires anything else about attribute values. However, the graded test ""renders attribute additions"" is a byte-exact snapshot generated from the reference code, and that snapshot pins href=""undefined"", a quirk (arguably a bug) of the reference implementation, so a behaviorally better answer fails the comparison. A second snapshot test, ""handles non-html input"", similarly pins one specific escaped-tag rendering under the ambiguous instruction to ""treat all formatted messages as HTML"". Because the tests grade byte-identity with the reference's quirks rather than the specified behavior, the failure is not a model error."
instance_element-hq__element-web-5e8488c2838ff4268f39db4a8cca7d74eecf5a7e-vnan,https://jeff-da.github.io/audit-nonvalids/element-hq__element-web-5e8488c2838ff4268f39db4a8cca7d74eecf5a7e-vnan/,Spec contradicts the graded test,instructions,trivial,"Replace ""if it is not ready, skip notification logic and leave notification state unchanged"" (line 55) with ""if it is not ready, skip the device-classification logic but still clear any existing notices: hide the bulk unverified-sessions toast and any per-device toasts."" Graded test ""hides toast when cross signing is not ready"" asserts hideToast IS called; gold falls through to hideToast.",codex + GPT-5.6; mini-swe + GPT-5.6,claude-code + Opus 5; mini-swe + Opus 5,"Models attempt to implement the DeviceListener notification logic per the spec, passing 117 of 118 tests, and when cross-signing is not ready they skip the notification path and leave toast state untouched. According to the task instructions, this is exactly what is required: ""if it is not ready, skip notification logic and leave notification state unchanged."" However, the graded test ""hides toast when cross signing is not ready"" asserts that BulkUnverifiedSessionsToast.hideToast WAS called -- that is, that the notification state changed -- and fails with ""Expected calls >= 1, Received 0"" at DeviceListener-test.ts:420. The reference solution skips only the device-classification step and still falls through to hide the toast, a behavior the instruction sentence directly contradicts, so a spec-faithful patch cannot pass and the failure is not a model error."
instance_element-hq__element-web-e15ef9f3de36df7f318c083e485f44e1de8aad17,https://jeff-da.github.io/audit-nonvalids/element-hq__element-web-e15ef9f3de36df7f318c083e485f44e1de8aad17/,Unstated requirement,tests,trivial,"In the ""creates account data event"" test's mocked MatrixClient, implement `setLocalNotificationSettings(deviceId, opts)` to delegate to the mocked setAccountData/accountDataStore (mirroring the real SDK at matrix-js-sdk client.ts:8214), so patches using the public SDK helper pass. Alternatively add spec sentence: ""Write the settings via `cli.setAccountData` directly, not the SDK's setLocalNotificationSettings helper.""",codex + GPT-5.6; mini-swe + GPT-5.6,claude-code + Opus 5; mini-swe + Opus 5,"Models attempt to implement createLocalNotificationSettingsIfNeeded by calling the matrix-js-sdk's own public helper, `cli.setLocalNotificationSettings(deviceId, {is_silenced})`, which in the real SDK simply writes the same account-data event the task asks for. According to the task instructions, this should be acceptable: the spec asks for the notification-settings account data to be created and never says to ""call setAccountData directly"". However, the graded test ""creates account data event"" uses a mocked client where only getAccountData/setAccountData are backed by a real store while the SDK helper is an inert stub, so the store stays empty and the assertion on `event?.getContent().is_silenced` reads undefined. Production-equivalent code fails purely because it routed through the official SDK API instead of the one method the mock happens to implement, so the failure is not a model error."
instance_element-hq__element-web-fe14847bb9bb07cab1b9c6c54335ff22ca5e516a-vnan,https://jeff-da.github.io/audit-nonvalids/element-hq__element-web-fe14847bb9bb07cab1b9c6c54335ff22ca5e516a-vnan/,Unstated requirement,instructions,trivial,"Spec says only ""emit `VoiceBroadcastRecordingEvent.StateChanged`"" / ""emit `VoiceBroadcastRecordingsStoreEvent.CurrentChanged`"" without payload; tests require `toHaveBeenCalledWith(newState)` / the recording object. Amend the stop bullet to ""...emit `VoiceBroadcastRecordingEvent.StateChanged` with the new state as the event argument"", and the current-recording bullet to ""...emit `VoiceBroadcastRecordingsStoreEvent.CurrentChanged` with the new current recording as the event argument"".",codex + GPT-5.6; mini-swe + GPT-5.6,claude-code + Opus 5; mini-swe + Opus 5,"Models attempt to build the VoiceBroadcastRecording class and its store correctly, emitting the StateChanged and CurrentChanged events with no payload while exposing the current state through the required readable state property. According to the task instructions, this should be acceptable because the spec only says to ""emit `VoiceBroadcastRecordingEvent.StateChanged`"" and ""emit `VoiceBroadcastRecordingsStoreEvent.CurrentChanged`"" without ever specifying an event argument. However, the graded tests assert `expect(onStateChanged).toHaveBeenCalledWith(VoiceBroadcastInfoState.Stopped)` and the equivalent for the recording object, and they fail with ""Expected: 'stopped' / Received: called with 0 arguments"". Since the payload requirement exists only in the tests and a no-argument emit is a fully defensible reading of the written spec, the failure is not a model error."
instance_flipt-io__flipt-36e62baffae2132f78f9d34dc300a9baa2d7ae0e,https://jeff-da.github.io/audit-nonvalids/flipt-io__flipt-36e62baffae2132f78f9d34dc300a9baa2d7ae0e/,Unstated requirement,tests,moderate,"TestGetTraceExporter_OTLPClientTransport uses reflect+unsafe to require the exporter's private client PkgPath contain ""otlptracehttp"" — drop that reflection assertion (keep behavioral endpoint/protocol checks); a hand-rolled HTTP client passed everything else. If the pinned dependency stays, rebuild the image with otlptracehttp v1.18.0 plus transitive deps in the module cache (env is offline; only v1.14.0 cached, missing its own deps).",claude-code + Opus 5; codex + GPT-5.6; mini-swe + Opus 5; mini-swe + GPT-5.6,,"Models attempt to add OTLP-over-HTTP trace export, in one case by hand-writing a behaviorally correct otlptrace HTTP client that passes every behavior test for endpoints and protocols. According to the task instructions this should be acceptable, since no spec sentence dictates which library package must supply the client — only the export behavior is described. However, the graded test TestGetTraceExporter_OTLPClientTransport uses reflect and unsafe to inspect the exporter's private client and demands its package path contain ""otlptracehttp"", an implementation detail the spec never states. Worse, the required package is unattainable in the execution environment: it is offline (GOPROXY connections fail with EOF) and the module cache holds only otlptracehttp v1.14.0 without its own transitive dependencies (""no required module provides package .../otlp/internal""), while the reference solution pins v1.18.0. The failure comes from a hidden implementation requirement combined with a broken dependency cache, not a model error."
instance_flipt-io__flipt-3b2c25ee8a3ac247c3fad13ad8d64ace34ec8ee7,https://jeff-da.github.io/audit-nonvalids/flipt-io__flipt-3b2c25ee8a3ac247c3fad13ad8d64ace34ec8ee7/,Unstated requirement,tests,trivial,"The strict mock fixture returns NextPageToken ""bar"" but registers only one ListFlags expectation; a client that correctly follows pagination panics (""Unexpected Method Call ... PageToken 'YmFy'""), also killing TestGetProviderConfiguration. Change the fixture to return NextPageToken """" (or add a second ListFlags expectation returning an empty page) so single-call and paginated implementations both pass.",claude-code + Opus 5,codex + GPT-5.6; mini-swe + Opus 5; mini-swe + GPT-5.6,"Models attempt to load all flags for a namespace via the store's ListFlags API, and one implementation correctly honors pagination: when the response advertises a next page token, it issues a second ListFlags call to fetch the remaining flags. According to the task instructions, this should be acceptable — the spec says to list the namespace's flags and evaluate them (""we expect all the flags to be loaded""), and no sentence mandates a single non-paginated call. However, the graded test uses a strict mock that returns NextPageToken ""bar"" while registering only one ListFlags expectation, so the production-correct follow-up call triggers a panic (""mock: Unexpected Method Call ... PageToken: 'YmFy'"") that crashes the test binary and also wipes out the unrelated TestGetProviderConfiguration. The test enforces a hidden call-count contract that punishes correct pagination handling, so the failure is not a model error."
instance_flipt-io__flipt-3d5a345f94c2adc8a0eaa102c189c08ad4c0f8e8,https://jeff-da.github.io/audit-nonvalids/flipt-io__flipt-3d5a345f94c2adc8a0eaa102c189c08ad4c0f8e8/,Unsolvable fixture,test_patch_fixtures,moderate,"Move `testdata/tracing/wrong_sampling_ratio.yml`, `wrong_propagator.yml`, and the otlp.yml SamplingRatio=0.5 edit from gold_patch into test_patch (TestLoad reads them; spec never names them). Tests: relax TestNewGRPCServerSetsPropagatorsFromConfig's exact b3multi Fields() set {x-b3-...-flags}, or state in instructions that go.opentelemetry.io/contrib/propagators/autoprop must be used.",claude-code + Opus 5; codex + GPT-5.6; mini-swe + Opus 5; mini-swe + GPT-5.6,,"Models attempt to add the requested tracing propagator and sampling-ratio configuration, and the strongest attempt implemented the feature fully, passing the propagator and sampler tests themselves. However, the graded TestLoad reads fixture files named testdata/tracing/wrong_sampling_ratio.yml and wrong_propagator.yml and expects otlp.yml to set SamplingRatio=0.5 -- those fixture files and edits exist only inside the reference solution's patch, and the instructions never name them, so no model can create the exact files the test opens. A second hidden trap is TestNewGRPCServerSetsPropagatorsFromConfig, which asserts the exact b3multi header set {x-b3-traceid, spanid, sampled, flags} produced by one specific contrib library; a spec-compliant hand-rolled b3 propagator emitted x-b3-parentspanid instead of x-b3-flags and failed. No implementation could clear both unstated hurdles, so the failure is not a model error."
instance_flipt-io__flipt-c8d71ad7ea98d97546f01cce4ccb451dbcf37d3b,https://jeff-da.github.io/audit-nonvalids/flipt-io__flipt-c8d71ad7ea98d97546f01cce4ccb451dbcf37d3b/,Spec contradicts the graded test,instructions,trivial,"The sentence 'The string representation of each error must match the format `""message (file line:column)""`' contradicts the graded `require.EqualError(err, ""flag fruit/apple rule 1 references unknown segment ..."")`. Reword to scope it: ""Cue-validation errors must match `message (file line:column)`; snapshot referential-integrity errors must be bare `ErrInvalidf` messages with no location suffix."" Also append to the rule-reference sentences: ""`<ruleIndex>` is 1-based.""",claude-code + Opus 5; mini-swe + Opus 5; mini-swe + GPT-5.6,codex + GPT-5.6,"Models attempt to report referential-integrity errors (a flag rule referencing an unknown segment) through the cue-style error type that carries file, line, and column information. According to the task instructions, this is required: ""The string representation of each error must match the format `message (file line:column)`"". However, the graded test demands the opposite — `require.EqualError(err, ""flag fruit/apple rule 1 references unknown segment \""unknown\"""")` accepts only the bare message with no location suffix, and one model produced the byte-exact required message plus the mandated "" (features.yml 9:8)"" suffix and was failed for it. The gold patch quietly returns a plain ErrInvalidf instead, and the test's 1-based rule numbering is also never stated. The spec-faithful output is rejected by the grader, so the failure is not a model error."
instance_flipt-io__flipt-e42da21a07a5ae35835ec54f74004ebd58713874,https://jeff-da.github.io/audit-nonvalids/flipt-io__flipt-e42da21a07a5ae35835ec54f74004ebd58713874/,Unstated requirement,image,trivial,"Base repo does not build: go.sum lacks the h1: hash for grpc v1.34.0 (also lib/pq v1.9.0, errwrap) — gold itself repairs go.sum, so spec-faithful patches that don't touch go.sum fail at setup. Fix the image so the base compiles: apply gold's go.sum h1 lines (or run `go mod tidy`/set GOFLAGS=-mod=mod, GONOSUMDB) during image build; alternatively move the go.sum repair lines into test_patch so every submission builds.",claude-code + Opus 5; codex + GPT-5.6,mini-swe + Opus 5; mini-swe + GPT-5.6,"Models attempt to add ErrDisabled/ErrDisabledf and the errors.As handling in batchEvaluate exactly as specified, touching errors.go, evaluator.go, and server.go. During testing they discover that the repository's go.sum is missing the h1: hash for grpc v1.34.0, repair it locally so they can run the tests, and then deliberately revert the go.sum change before submitting because no instruction sentence mentions dependency files and it looks out of scope. However, the base repository does not build without that repair: the verifier dies at setup with ""missing go.sum entry for module providing package google.golang.org/grpc"", so the graded tests never run at all. The reference solution itself quietly adds the missing go.sum lines for grpc, lib/pq, and errwrap, meaning the task secretly requires fixing a broken build that the instructions never mention, so the failure is not a model error."
instance_flipt-io__flipt-f743945d599b178293e89e784b3b2374b1026430,https://jeff-da.github.io/audit-nonvalids/flipt-io__flipt-f743945d599b178293e89e784b3b2374b1026430/,Unstated requirement,instructions,trivial,"Test swaps the package-global defaultLogger for a zap observer, so emitting the exact message on a freshly built logger scores 0. After ""it must emit a single log entry at Info level with the message `no configuration file found, using defaults`"" append ""via the existing package-level `defaultLogger` (the test observes that logger instance).""",claude-code + Opus 5; codex + GPT-5.6; mini-swe + GPT-5.6,mini-swe + Opus 5,"Models attempt to handle a missing configuration file by logging the required message on the logger they just built and returning defaults. According to the task instructions, this should be acceptable because the spec says only that the code ""must emit a single log entry at Info level with the message `no configuration file found, using defaults`"" — it never says which logger instance must emit it. However, the graded test TestBuildConfigNoFile swaps the package-global defaultLogger for a zap observer and asserts on that observer, so a message emitted through any other logger is invisible to it: the test fails at main_test.go:71 with '""[]"" should have 1 item(s)' even though the run's stdout plainly shows ""INFO no configuration file found, using defaults"". The exact required behavior demonstrably happened; the failure is an unstated contract about which logger object the test observes, not a model error."
